run_id,series,alpha,Q_Y_COS_mean,Q_Y_COS_std,Q_Y_COS_sem,Q_Y_mean,FIT_Y_mean,Q_W_mean,Q_X_mean
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,2.2,1.000000033,6.830281118e-08,1.527297289e-08,0.9999987841,0.9999999948,-0.007606986082,-0.005837366456
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,2.3,1.000000009,6.493466087e-08,1.451983158e-08,0.9999990195,0.9999999977,-0.001741856465,-0.002175308188
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,2.4,1.000000015,6.664001875e-08,1.490116119e-08,0.9999990284,0.9999999989,-0.003190376307,-0.008533689915
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,2.5,1.000000036,7.338369027e-08,1.640909199e-08,0.9999995381,0.9999999994,-0.008120680432,-0.006721295396
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,2.6,1.000000012,7.131612797e-08,1.5946771e-08,0.999999541,0.9999999996,-0.002304956946,0.001650315707
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,2.7,1.000000009,6.198822728e-08,1.3860989e-08,0.9999996871,0.9999999998,-0.001818295266,-0.001748381997
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,2.8,1.000000027,5.629737624e-08,1.258847602e-08,0.9999997795,0.9999999998,0.0003891584465,-0.0007491375902
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,2.9,1.000000018,6.442876265e-08,1.44067093e-08,0.9999997705,0.9999999999,0.004358568101,0.002681711368
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3,1.000000042,6.726838275e-08,1.504166766e-08,0.9999998271,0.9999999999,-0.01082492363,-0.008639780129
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3.1,1.000000075,7.203354649e-08,1.610719066e-08,0.9999998897,0.9999999999,0.0009320531404,0.002391491152
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3.2,1.000000083,6.529361695e-08,1.46000966e-08,0.9999998897,1,-0.003412250111,-0.001936649004
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3.3,1.00000008,7.045885256e-08,1.575507839e-08,0.9999999106,1,-0.01343948277,-0.01572572481
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3.4,1.000000036,7.338369027e-08,1.640909199e-08,0.9999999166,1,0.007378777175,0.003310078604
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3.5,1.000000042,7.514615692e-08,1.680319151e-08,0.9999999523,1,0.004509727145,0.004034479451
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3.6,1.000000066,6.945654185e-08,1.553095491e-08,0.9999999791,1,0.005699918982,0.002035822025
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3.7,1.000000024,6.809718258e-08,1.522699293e-08,0.9999999613,1,-0.008565962361,-0.007967004942
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3.8,1.00000006,6.972523354e-08,1.559103619e-08,0.9999999791,1,0.002127766147,-0.003249923419
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,3.9,1.000000054,6.084654159e-08,1.360570032e-08,0.999999994,1,0.002522982709,0.003839495977
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,4,1.000000092,5.629737624e-08,1.258847602e-08,0.999999997,1,-0.0101839771,-0.01091301201
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),0,0,0,0,0,0,0,0
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),0.1,0,0,0,0,0,0,0
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),0.2,0.05618035328,0.0001359315748,3.039522415e-05,0.0002317899372,0.0004465579987,3.07238548e-05,2.755613204e-05
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),0.3,0.131226705,2.685262011e-05,6.004428394e-06,0.005953713413,0.009849008918,-0.0003444964059,-0.0004987589418
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),0.4,0.2042653292,7.051022262e-05,1.576656509e-05,0.01677076863,0.02680065036,-9.180832931e-05,0.0003264055835
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),0.5,0.2583630115,5.753043676e-05,1.286419674e-05,0.02868208718,0.04503988922,0.0008731697752,0.0008971281684
